Status,Nama Kapal,Flag State,Jenis Kapal,DWT,Capacity,EHP ME,No ME,MCR ME,PME,EHP AE,No AE,PAE,Vs,Vservice,Vref,MCRavg,Vapp,Vavg,Margin,Att. EEXI,Reference Line,Reduction Factor,Req. EEXI,Req - Att,Att/Req,Judgment
ACTIVE,EVER LYRIC,TAIWAN,Container,103891,103891,56070,1,56070,42052.5,1301.3125,3,3903.9375,27.1,27.1,26.82624391,14430.4347,22.62819815,15.15104729,0.757552364,11.69547979,4.343525919,0.2,3.474820735,-8.220659051,3.365779324,Not Comply
ACTIVE,EVER MACH,SINGAPORE,Container,156238,156238,48500,1,48500,36375,1159.375,3,3478.125,21.9,21.9,21.67877275,18122.07684,20.4275679,15.48751715,0.774375858,7.472914306,3.559299636,0.2,2.847439709,-4.625474597,2.624432849,Not Comply
ACTIVE,EVER MAX,SINGAPORE,Container,156174,156174,48500,1,48500,36375,1159.375,3,3478.125,22.4,22.4,22.1737219,18117.93229,20.42867485,15.48717558,0.774358779,7.475571607,3.560011357,0.2,2.848009086,-4.627562521,2.624841207,Not Comply
ACTIVE,EVER OASIS,HONG KONG,Container,32963,32963,15000,1,15000,11250,531.25,3,1593.75,15.5,15.5,15.34342364,7602.531411,16.9709802,14.24313671,0.712156836,13.80587679,7.605633627,0.2,6.084506902,-7.721369891,2.26902147,Not Comply
ACTIVE,EVER OATH,PANAMA,Container,33541,33541,14150,1,14150,10612.5,515.3125,3,1545.9375,18.8,18.8,18.61008803,7676.666646,16.60594308,14.25647052,0.712823526,13.13155445,7.541389194,0.2,6.033111355,-7.098443092,2.176580818,Not Comply
ACTIVE,EVER OBEY,PANAMA,Container,33541,33541,14150,1,14150,10612.5,515.3125,3,1545.9375,18.1,18.1,17.91715922,7676.666646,16.60594308,14.25647052,0.712823526,13.13155445,7.541389194,0.2,6.033111355,-7.098443092,2.176580818,Not Comply
ACTIVE,EVER OCEAN,HONG KONG,Container,32831,32831,15000,1,15000,11250,531.25,3,1593.75,18.5,18.5,18.31311854,7585.520537,16.97998881,14.2400606,0.71200303,13.85403051,7.620540918,0.2,6.096432734,-7.757597773,2.272481484,Not Comply
ACTIVE,EVER ONWARD,LIBERIA,Container,33501,33501,14150,1,14150,10612.5,515.3125,3,1545.9375,17.4,17.4,17.22423041,7671.554448,16.60856403,14.25555479,0.71277774,13.14515872,7.545781987,0.2,6.036625589,-7.108533132,2.177567339,Not Comply
ACTIVE,EVER OPUS,PANAMA,Container,33577,33577,14150,1,14150,10612.5,515.3125,3,1545.9375,18.2,18.2,18.01614905,7681.265321,16.60358725,14.25729379,0.712864689,13.11933648,7.53744234,0.2,6.029953872,-7.089382611,2.175694336,Not Comply
ACTIVE,EVER ORDER,HONG KONG,Container,32812,32812,15000,1,15000,11250,531.25,3,1593.75,20.9,20.9,20.68887445,7583.069516,16.98128888,14.23961687,0.711980843,13.86099151,7.622694008,0.2,6.098155206,-7.762836302,2.272981097,Not Comply
ACTIVE,EVER ORIENT,HONG KONG,Container,32926,32926,15000,1,15000,11250,531.25,3,1593.75,16.7,16.7,16.5313016,7597.766251,16.97350121,14.24227565,0.712113782,13.81933805,7.609803215,0.2,6.087842572,-7.731495482,2.269989391,Not Comply
ACTIVE,EVER ORIGIN,LIBERIA,Container,33541,33541,14150,1,14150,10612.5,515.3125,3,1545.9375,18.9,18.9,18.70907786,7676.666646,16.60594308,14.25647052,0.712823526,13.13155445,7.541389194,0.2,6.033111355,-7.098443092,2.176580818,Not Comply
ACTIVE,EVER OUTWIT,PANAMA,Container,33544,33544,14150,1,14150,10612.5,515.3125,3,1545.9375,18.3,18.3,18.11513888,7677.049952,16.60574665,14.25653916,0.712826958,13.13053535,7.541060049,0.2,6.032848039,-7.097687309,2.176506894,Not Comply
ACTIVE,EVER OWN,PANAMA,Container,33496,33496,14150,1,14150,10612.5,515.3125,3,1545.9375,16.9,16.9,16.72928126,7670.915234,16.60889189,14.25544025,0.712772013,13.14686139,7.546331634,0.2,6.037065308,-7.109796081,2.177690768,Not Comply
ACTIVE,EVER PEARL,SINGAPORE,Container,19309,19309,12480,1,12480,9360,468,3,1404,21.5,21.5,21.28281343,5640.178865,17.13169055,13.83893639,0.691946819,19.58286468,9.873739652,0.1913625,7.984276148,-11.59858853,2.45267878,Not Comply
ACTIVE,EVER PRIDE,UNITED KINGDOM,Container,19309,19309,12480,1,12480,9360,468,3,1404,21.4,21.4,21.1838236,5640.178865,17.13169055,13.83893639,0.691946819,19.58286468,9.873739652,0.1913625,7.984276148,-11.59858853,2.45267878,Not Comply
ACTIVE,EVER PRIMA,UNITED KINGDOM,Container,19311,19311,12480,1,12480,9360,468,3,1404,21.2,21.2,20.98584394,5640.504994,17.13145588,13.83901354,0.691950677,19.58110475,9.873240608,0.1913875,7.983625771,-11.59747898,2.452658142,Not Comply
ACTIVE,EVER SAFETY,SINGAPORE,Container,78268,78268,54900,1,54900,41175,1279.375,3,3838.125,17.2,17.2,17.02625075,12320.17726,23.32727297,14.92182366,0.746091183,14.75056048,4.987275255,0.2,3.989820204,-10.76074028,3.697048921,Not Comply
